SUBWYST_ID,STATION_ID,NYCT_ID,LINE,DIVISION,STAT_LABEL,DISP_X,DISP_Y,DISP_NAME,DISP_LINE,DISP_NOTE,X,Y
31,36,1415,4TH AVE LINE,BMT,BMT-R-BAY RIDGE AVE,977762,170613,Bay Ridge Ave,R,R-all times,977762.9968,170617.2152
30,37,1416,4TH AVE LINE,BMT,BMT-R-77 ST,977169,168709,77th St,R,R-all times,977166.568,168702.282
58,38,1417,4TH AVE LINE,BMT,BMT-R-86 ST,976367,166139,86th St,R,R-all times,976347.5594,166076.9042
57,39,1418,4TH AVE LINE,BMT,BMT-R-BAY RIDGE-95 ST,975678,163930,Bay Ridge - 95th St,R,R-all times,975686.566,163958.1446
231,40,1387,BRIGHTON LINE,BMT,BMT-BP-Q-ATLANTIC AVE,990689,188655,Atlantic Av - Barclay&apos;s Center,B-Q,"B-weekdays and evenings, Q-all times",990650.3362,188703.6996
230,41,1388,BRIGHTON LINE,BMT,BMT-BP-Q-7 AVE,991780,185964,7th Ave,B-Q,"B-weekdays and evenings, Q-all times",991890.3942,185990.7376
223,42,1389,BRIGHTON LINE,BMT,BMT-BP-Q-S-PROSPECT PARK,994784,180330,Prospect Park,B-Q-S,"B-weekdays and evenings, Q,S to Franklin Av-Fulton St-all times",994761.3908,180239.135
222,43,1390,BRIGHTON LINE,BMT,BMT-Q-PARKSIDE AVE,994945,177940,Parkside Ave,Q,Q-all times,994920.1368,177941.2346
219,44,1391,BRIGHTON LINE,BMT,BMT-BP-Q-CHURCH AVE,994550,176271,Church Ave,B-Q,"B-weekdays and evenings, Q-all times",994515.7694,176276.7726
218,45,1392,BRIGHTON LINE,BMT,BMT-Q-BEVERLY RD,994141,173870,Beverly Rd,Q,Q-all times,994116.8796,173866.63
220,46,1393,BRIGHTON LINE,BMT,BMT-Q-CORTELYOU RD,994299,172790,Cortelyou Rd,Q,Q-all times,994270.4688,172782.5022
221,47,1394,BRIGHTON LINE,BMT,BMT-BP-Q-NEWKIRK AVE,994604,170678,Newkirk Ave,B-Q,"B-weekdays and evenings, Q-all times",994581.9138,170665.1272
87,48,1395,BRIGHTON LINE,BMT,BMT-Q-AVE H,994932,168516,Ave H,Q,Q-all times,994898.4538,168507.205
86,49,1396,BRIGHTON LINE,BMT,BMT-Q-AVE J,995161,166991,Ave J,Q,Q-all times,995133.8476,166976.2792
83,50,1397,BRIGHTON LINE,BMT,BMT-Q-AVE M,995565,164214,Ave M,Q,Q-all times,995529.8494,164209.2582
70,51,1398,BRIGHTON LINE,BMT,BMT-BP-Q-KINGS HWY,996020,161023,Kings Hwy,B-Q,"B-weekdays and evenings, Q-all times",995986.5196,161015.7052
69,52,1399,BRIGHTON LINE,BMT,BMT-Q-AVE U,996521,157624,Ave U,Q,Q-all times,996484.9786,157623.922
88,53,1400,BRIGHTON LINE,BMT,BMT-Q-NECK RD,996725,156171,Neck Rd,Q,Q-all times,996698.5162,156155.001
68,54,1401,BRIGHTON LINE,BMT,BMT-BP-Q-SHEEPSHEAD BAY,997011,152975,Sheepshead Bay,B-Q,"B-weekdays and evenings, Q-all times",996972.753,152971.2034
67,55,1402,BRIGHTON LINE,BMT,BMT-BP-Q-BRIGHTON BEACH,994986,149754,Brighton Beach,B-Q,"B-weekdays and evenings, Q-all times",994987.2334,149725.294
76,56,1403,BRIGHTON LINE,BMT,BMT-Q-OCEAN PKY,993000,149244,Ocean Pkwy,Q,Q-all times,992969.9562,149238.3684
75,57,1404,BRIGHTON/CULVER LINE,BMT,BMT-F-Q-W 8 ST-N Y AQUARIUM,990929,149142,W 8th St - NY Aquarium,F-Q,"F,Q-all times",990917.0598,149171.7544
77,58,1405,WEST END/SEA BEACH LINE,BMT,BMT-D-F-N-Q-STILLWELL AV,989462,149596,Coney Island - Stillwell Av,D-F-N-Q,"D,F,N,Q-all times",989472.0396,149596.7528
140,59,1419,WEST END LINE,BMT,BMT-D-9 AVE,985790,174808,9th Ave,D,D-all times,985769.9598,174782.0126
142,60,1420,WEST END LINE,BMT,BMT-D-FT HAMILTON PKY,985859,172778,Ft Hamilton Pkwy,D,D-all times,985828.8908,172776.443
33,61,1421,WEST END LINE,BMT,BMT-D-50 ST,985732,171083,50th St,D,D-all times,985700.4008,171093.9756
32,62,1422,WEST END LINE,BMT,BMT-D-55 ST,985541,169341,55th St,D,D-all times,985505.7422,169356.1344
63,63,1423,WEST END LINE,BMT,BMT-D-62 ST,985122,167427,62nd St,D,D-all times,985091.888,167428.2304
60,64,1424,WEST END LINE,BMT,BMT-D-71 ST,984572,164889,71st St,D,D-all times,984542.461,164887.9558
59,65,1425,WEST END LINE,BMT,BMT-D-79 ST,984088,162667,79th St,D,D-all times,984057.3904,162664.46
