Borough,Line,Station,District,STATION_ID
Manhattan,"B,D",Grand Street,04,231
Manhattan,F,2 Avenue,04,232
Manhattan,F,East Broadway,04,234
Manhattan,F,Delancey Street / Essex Street,04,233
Manhattan,"J,M,Z",Essex Street / Delancey Street,04,102
Manhattan,"J,Z",Bowery,04,103
Manhattan,L,14 Street / Union Square,04,117
Manhattan,L,3 Avenue,04,118
Manhattan,L,1 Avenue,04,119
Manhattan,"E,M",Lexington Avenue / 53 Street,04,275
Manhattan,Q,96 Street,04,475
Manhattan,Q,86 Street,04,476
Manhattan,Q,72 Street,04,477
Bronx,D,Norwood / 205 Street,11,210
Bronx,"B,D",Bedford Park Boulevard,11,211
Bronx,"B,D",Kingsbridge Road,11,212
Bronx,"B,D",Fordham Road / Grand Concourse,11,213
Bronx,"B,D",182-183 Streets,11,214
Bronx,"B,D",Tremont Avenue,11,215
Bronx,"B,D",174-175 Streets,11,216
Bronx,"B,D",170 Street,11,217
Bronx,"B,D",167 Street,11,218
Bronx,"B,D",161 Street / Yankee Stadium,11,219
Bronx,4,161 Street / Yankee Stadium,11,389
Bronx,4,Woodlawn,11,378
Bronx,4,Mosholu Parkway,11,379
Bronx,4,Bedford Park Boulevard / Lehman College,11,380
Bronx,4,Kingsbridge Road,11,381
Bronx,4,Fordham Road,11,382
Bronx,4,183 Street,11,383
Bronx,4,Burnside Avenue,11,384
Bronx,4,176 Street,11,385
Bronx,4,Mt. Eden Avenue,11,386
Bronx,4,170 Street,11,387
Bronx,4,167 Street,11,388
Bronx,4,149 Street / Grand Concourse,11,390
Bronx,"2,5",149 Street / Grand Concourse,11,435
Bronx,4,138 Street / Grand Concourse,11,391
Bronx,2,241 Street / Wakefield,12,416
Bronx,"2,5",238 Street / Nereid Avenue,12,417
Bronx,"2,5",233 Street,12,418
Bronx,"2,5",225 Street,12,419
Bronx,"2,5",219 Street,12,420
Bronx,"2,5",Gun Hill Road,12,421
Bronx,"2,5",Burke Avenue,12,422
Bronx,"2,5",Allerton Avenue,12,423
Bronx,"2,5",Pelham Parkway,12,424
Bronx,"2,5",Bronx Park East,12,425
Bronx,"2,5",East 180 Street,12,426
Bronx,"2,5",East Tremont Avenue / West Farms Square,12,427
Bronx,"2,5",174 Street,12,428
Bronx,"2,5",Freeman Street,12,429
Bronx,"2,5",Simpson Street,12,430
Bronx,"2,5",Intervale Avenue,12,431
Bronx,"2,5",Prospect Avenue,12,432
Bronx,"2,5",Jackson Avenue,12,433
Bronx,"2,5",3 Avenue / 149 Street,12,434
Bronx,5,Dyre Avenue / Eastchester,12,442
Bronx,5,Baychester Avenue,12,443
Bronx,5,Gun Hill Road,12,444
Bronx,5,Pelham Parkway,12,445
Bronx,5,Morris Park,12,446
Bronx,6,Pelham Bay Park,12,360
Bronx,6,Buhre Avenue,12,361
Bronx,6,Middletown Road,12,362
Bronx,6,East Tremont Avenue / Westchester Square,12,363
Bronx,6,Zerega Avenue,12,364
Bronx,6,Castle Hill Avenue,12,365
Bronx,6,Parkchester / East 177 Street,12,366
Bronx,6,St. Lawrence Avenue,12,367
Bronx,6,Morrison Avenue / Soundview,12,368
Bronx,6,Elder Avenue,12,369
Bronx,6,Whitlock Avenue,12,370
Bronx,6,Hunts Point Avenue,12,371
Bronx,6,Longwood Avenue,12,372
Bronx,6,East 149 Street,12,373
Bronx,6,East 143 Street / St. Mary's Street,12,374
Bronx,6,Cypress Avenue,12,375
Bronx,6,Brook Avenue,12,376
Bronx,6,3 Avenue / 138 Street,12,377
Queens,F,179 Street / Jamaica,20,254
Queens,F,169 Street,20,255
Queens,F,Parsons Boulevard,20,256
Queens,F,Sutphin Boulevard,20,257
Queens,"E,F",Van Wyck Boulevard / Briarwood,20,258
Queens,"E,F",Kew Gardens / Union Turnpike,20,259
Queens,"E,F",75 Avenue,20,260
Queens,"E,F,M,R",71 Avenue / Forest Hills,20,261
Queens,"E,M,R",67 Avenue,20,262
Queens,"M,R",63 Drive / Rego Park,20,263
Queens,"M,R",Woodhaven Boulevard,20,264
Queens,"M,R",Grand Avenue / Newton,20,265
Queens,"M,R",Elmhurst Avenue,20,266
Queens,"E,F,M,R",Jackson Heights / Roosevelt Ave,20,267
Queens,"M,R",65 Street,20,268
Queens,"M,R",Northern Boulevard,20,269
Queens,"M,R",46 Street,20,270
Queens,"M,R",Steinway Street,20,271
Queens,"M,R",36 Street,20,272
Queens,"E,M,R",Queens Plaza,20,273
Queens,"E,M",Court Square / 23 Street,20,274
Queens,G,21 Street,20,282
Queens,G,Long Island City / Court Square,20,281
Queens,"E,M",Main Street / Flushing,20,447
Queens,7,Willets Point / Citi Field,20,448
Queens,7,111 Street / Roosevelt Ave,20,449
Queens,7,103 Street / Corona Plaza,20,450
Queens,7,Junction Boulevard,20,451
Queens,7,90 Street / Elmhurst Avenue,20,452
Queens,7,82 Street / Jackson Heights,20,453
Queens,7,74 Street / Broadway,20,454
Queens,7,69 Street,20,455
Queens,7,61 Street / Woodside,20,456
Queens,7,52 Street,20,457
Queens,7,46 Street,20,458
Queens,7,40 Street,20,459
Queens,7,33 Street,20,460
Queens,"N,W,7",Queensboro Plaza,20,461
Queens,7,45 Road / Court House Square,20,462
Queens,7,Hunters Point Avenue,20,463
Queens,7,Vernon Boulevard / Jackson Avenue,20,464
Queens,"N,W",Ditmars Boulevard / Astoria,20,1
Queens,"N,W",Astoria Boulevard,20,2
Queens,"N,W",30 Avenue,20,3
Queens,"N,W",Broadway,20,4
Queens,"N,W",36 Avenue,20,5
Queens,"N,W",39 Avenue,20,6
Queens,"E,J,Z",Parsons / Archer / Jamaica Center,20,278
Queens,"E,J,Z",Sutphin Boulevard / Archer Avenue,20,279
Queens,"E,J,Z",Jamaica / Van Wyck,20,280
Queens,"J,Z",121 Street,20,80
Queens,"J,Z",111 Street,20,81
Queens,J,104 Street,20,82
Queens,"J,Z",Woodhaven Boulevard,20,83
Queens,"J,Z",85 Street / Forest Parkway,20,84
Queens,J,75 Street / Elderts Lane,20,85
Queens,"J,Z",Roosevelt Island,20,222
Queens,F,21 Street / Queensbridge,20,221
Queens,A,Rockaway Boulevard,23,192
Queens,A,80 Street,23,190
Queens,A,88 Street,23,191
Queens,A,104 Street,23,193
Queens,A,111 Street,23,194
Queens,A,Ozone Park / Lefferts Boulevard,23,195
Queens,A,Aqueduct / North Conduit Avenue,23,197
Queens,A,Aqueduct / Racetrack,23,196
Queens,A,Howard Beach / JFK Airport,23,198
Queens,"A,S",Broad Channel,23,199
Queens,"A,S",Rockaway Park / Beach 116 Street,23,203
Queens,"A,S",Beach 105 Street,23,202
Queens,"A,S",Beach 98 Street,23,201
Queens,"A,S",Beach 90 Street,23,200
Queens,A,Beach 67 Street,23,204
Queens,A,Beach 60 Street,23,205
Queens,A,Beach 44 Street,23,206
Queens,A,Beach 36 Street,23,207
Queens,A,Beach 25 Street,23,208
Queens,A,Far Rockaway / Mott Avenue,23,209
Brooklyn,"A,C",High Street,30,173
Brooklyn,"A,C,F",Jay Street / Metrotech,30,174
Brooklyn,"A,C,G",Hoyt / Schermerhorn Streets,30,175
Brooklyn,"A,C",Clinton / Washington Avenues,30,177
Brooklyn,"A,C",Franklin Avenue,30,178
Brooklyn,S,Franklin Avenue,30,139
Brooklyn,F,York Street,30,235
Brooklyn,"F,G",Bergen Street,30,236
