X,Y,BOROUGH,LINE,STATION,DISTRICT,STATION_ID,NOTE
986725,205255,"Manhattan","6","Astor Place","04",407,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
985042,202430,"Manhattan","6","Spring Street","04",409,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
987203,209353,"Manhattan","N,R","23 Street","04",14,"N-all times, Q-nights, R-all times exc nights"
986326,205405,"Manhattan","N,R","8 Street / NYU","04",16,"N-all times, Q-nights, R-all times exc nights"
985302,203522,"Manhattan","B,D,F,M","Broadway / Lafayette Street","04",230,"B,M-weekdays and evenings, D,F-all times"
987039,202831,"Manhattan","F","2 Avenue","04",232,"F-all times"
987555,201112,"Manhattan","F","Delancey Street / Essex Street","04",233,"F-all times"
985967,201682,"Manhattan","J,Z","Bowery","04",103,"J-all times, Z-rush hours AM westbound, PM eastbound"
988199,206216,"Manhattan","L","3 Avenue","04",118,"L-all times"
992818,215244,"Manhattan","E,M","Lexington Avenue / 53 Street","04",275,"E-all times, M-weekdays and evenings"
997607,222676,"Manhattan","Q","86 Street","04",476,"Q-all times"
1017753,258018,"Bronx","D","Norwood / 205 Street","11",210,"D-all times"
1013704,255159,"Bronx","B,D","Kingsbridge Road","11",212,"B-rush hours, D-all times"
1011708,251191,"Bronx","B,D","182-183 Streets","11",214,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
1009113,247474,"Bronx","B,D","174-175 Streets","11",216,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
1006822,243052,"Bronx","B,D","167 Street","11",218,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
1004815,241033,"Bronx","4","161 Street / Yankee Stadium","11",389,"4-all times"
1016147,259815,"Bronx","4","Mosholu Parkway","11",379,"4-all times"
1012690,255443,"Bronx","4","Kingsbridge Road","11",381,"4-all times"
1010839,252033,"Bronx","4","183 Street","11",383,"4-all times"
1008653,248414,"Bronx","4","176 Street","11",385,"4-all times"
1006997,245350,"Bronx","4","170 Street","11",387,"4-all times"
1004349,237415,"Bronx","4","149 Street / Grand Concourse","11",390,"4-all times"
1003668,235564,"Bronx","4","138 Street / Grand Concourse","11",391,"4-all times, skips rush hours AM southbound, PM northbound, 5-all times exc nights"
1024525,266582,"Bronx","2,5","238 Street / Nereid Avenue","12",417,"2-all times, 5-rush hours AM southbound, PM northbound"
1022900,262841,"Bronx","2,5","225 Street","12",419,"2-all times, 5-rush hours AM southbound, PM northbound"
1021269,259127,"Bronx","2,5","Gun Hill Road","12",421,"2-all times, 5-rush hours AM southbound, PM northbound"
1020972,254624,"Bronx","2,5","Allerton Avenue","12",423,"2-all times, 5-rush hours AM southbound, PM northbound"
1020671,248534,"Bronx","2,5","Bronx Park East","12",425,"2-all times, 5-rush hours AM southbound, PM northbound"
1017464,245410,"Bronx","2,5","East Tremont Avenue / West Farms Square","12",427,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
1014206,241683,"Bronx","2,5","Freeman Street","12",429,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
1012863,238823,"Bronx","2,5","Intervale Avenue","12",431,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
1009798,236741,"Bronx","2,5","Jackson Avenue","12",433,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
1031024,262955,"Bronx","5","Dyre Avenue / Eastchester","12",442,"5-all times"
1026736,256107,"Bronx","5","Gun Hill Road","12",444,"5-all times"
1022842,250576,"Bronx","5","Morris Park","12",446,"5-all times"
1030573,247837,"Bronx","6","Buhre Avenue","12",361,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
1027705,245312,"Bronx","6","East Tremont Avenue / Westchester Square","12",363,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
1025420,243254,"Bronx","6","Castle Hill Avenue","12",365,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
1020885,242246,"Bronx","6","St. Lawrence Avenue","12",367,"6-all times"
1017692,241176,"Bronx","6","Elder Avenue","12",369,"6-all times"
1014544,238390,"Bronx","6","Hunts Point Avenue","12",371,"6-all times, 6 Express-weekdays AM southbound, PM northbound"
1010797,235168,"Bronx","6","East 149 Street","12",373,"6-all times"
1008047,232706,"Bronx","6","Cypress Avenue","12",375,"6-all times"
1004697,234564,"Bronx","6","3 Avenue / 138 Street","12",377,"6-all times, 6 Express-weekdays AM southbound, PM northbound"
1041507,198205,"Queens","F","169 Street","20",255,"F-all times"
1036698,196336,"Queens","F","Sutphin Boulevard","20",257,"F-all times"
1031275,199464,"Queens","E,F","Kew Gardens / Union Turnpike","20",259,"E,F-all times"
1027349,202211,"Queens","E,F,M,R","71 Avenue / Forest Hills","20",261,"E,F-all times, M-weekdays and evenings, R-all times exc nights"
